sym,spread,spread_sd,slip,costo,prof_ask,n_ok,qv24,rank
PSGUSDT,0.3960396039603964,0.0,0.793787361628312,0.9937873616283119,102251.1076,2,1597777.97734,149
NBISBUSDT,0.039577836889960666,6.153420582542999e-06,0.23078756576476733,0.43078756576476734,276735.57307000004,2,1573416.27566,150
WBETHUSDT,0.17706174386704554,0.021848298971986896,0.5587507780046186,0.7587507780046185,370880.73185800004,2,1561044.41684,151
ATUSDT,0.14519058174256522,7.45301233499714e-05,1.4484797822769735,1.6484797822769734,66560.711515,2,1559027.46755,152
WUSDT,0.1043843895215682,0.00023114063574335335,0.7014124897767704,0.9014124897767704,76839.678487,2,1551116.83645,153
SPYBUSDT,0.0012986591344425057,0.0,0.03671478239236636,0.23671478239236637,280202.79663,2,1551111.82922,154
SEIUSDT,0.021372094154282602,1.6149126624101243e-05,0.26856302249672614,0.46856302249672616,164273.2317385,2,1531952.247703,155
MOVEUSDT,1.1834319526627355,0.0,1.5336391297118723,1.7336391297118723,183600.29473999998,2,1494564.94046,156
GLMRUSDT,0.13793389413272353,0.01954675285695959,1.7096598987939693,1.9096598987939692,57176.6125673,2,1471425.0704703,157
REDUSDT,0.09099182957122948,5.854498609861881e-05,1.0076632088822368,1.2076632088822368,67344.382365,2,1392616.01202,158
STOUSDT,0.23668639053253476,0.0,0.8219678096491712,1.021967809649171,93974.08622,2,1382525.3981,159
BMNRBUSDT,0.07853917443962216,2.1808593298662578e-05,0.324956008095062,0.5249560080950619,330167.48505,2,1379157.1376,160
ENSOUSDT,0.12026458208057739,0.0,0.5462233544859196,0.7462233544859196,104327.04736999999,2,1374684.14158,161
ALLOUSDT,0.03940887311549926,2.19635715616906e-05,0.4507307015113593,0.6507307015113593,43675.0591,2,1367946.07627,162
SKYUSDT,0.0578818918818171,0.02043657204718743,0.3776576384269925,0.5776576384269925,433010.848425,2,1367621.30738,163
BBUSDT,0.1443464388603887,0.06808921076885352,1.4567289536934314,1.6567289536934313,99016.121703,2,1366318.165761,164
BIOUSDT,0.03465605546409983,3.3970586488085915e-05,0.6830720048788097,0.8830720048788097,68729.186057,2,1350074.698261,165
METABUSDT,0.009492094615657542,0.010982287263771703,0.09778558865407572,0.29778558865407573,296057.02786000003,2,1349204.47542,166
MASKUSDT,0.2219766764351188,0.0006968311350611402,0.7978641475842208,0.9978641475842207,129336.89619999999,2,1349184.7725,167
