hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,lado
vol_rel alto,21744,49.604488594554816,-1.645511405445177,0.999999416597206,1.0,51.282786528392535,-1.6782979338377189,-1.8989855208284467,-1.7381321426918888,48,48,0.5416666666666666,False,no cruza el umbral,corto
corr_btc alto,22658,49.536587518757166,-1.7134124812428269,0.9999998807485415,1.0,52.398965513951964,-2.862377995194798,-2.274846157405264,-1.9187825889820829,48,48,0.4791666666666667,False,no cruza el umbral,corto
mecha_sup bajo,21000,49.39047619047619,-1.8595238095238003,0.999999966306031,1.0,51.0753560651081,-1.6848798746319105,-2.1096195521309866,-1.9542253521126653,49,49,0.5102040816326531,False,no cruza el umbral,corto
edad_d bajo,22301,48.12788664185463,-3.122113358145363,1.0,1.0,51.5633549071159,-3.435468265261271,-3.728227167023846,-3.3941132705054713,49,45,0.5111111111111111,False,no cruza el umbral,corto
corr_btc bajo,18365,47.22570106180234,-4.024298938197653,1.0,1.0,49.41738761156162,-2.1916865497592823,-4.646417708685362,-4.287932192010736,48,48,0.5208333333333334,False,no cruza el umbral,corto
vol_por_mov bajo,23360,46.9263698630137,-4.323630136986296,1.0,1.0,50.68822573944842,-3.7618558764347227,-5.0689725468877285,-4.621592539454795,49,49,0.3877551020408163,False,no cruza el umbral,corto
turnover bajo,22846,46.69526394117132,-4.554736058828674,1.0,1.0,50.90895389403405,-4.21368995286273,-5.355966409947101,-4.8790322580645125,48,48,0.5,False,no cruza el umbral,corto
dd_ath bajo,23450,45.69722814498934,-5.552771855010654,1.0,1.0,51.84795752626147,-6.150729381272129,-6.25022717979008,-5.79189676914379,39,37,0.5135135135135135,False,no cruza el umbral,corto
beta_btc bajo,17464,43.489464040311496,-7.760535959688497,1.0,1.0,49.27448670858921,-5.785022668277712,-8.93584123934189,-8.337056874001291,48,48,0.5208333333333334,False,no cruza el umbral,corto
en maximos historicos,1752,41.49543378995434,-9.754566210045652,0.9999999999999999,1.0,46.991359061922665,-5.495925271968325,-13.788133007931663,-11.829196217494086,47,18,0.2222222222222222,False,no cruza el umbral,corto
