hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,lado
vr_h alto,22883,48.21920202770616,-3.0307979722938327,1.0,1.0,48.68805978843455,-0.46885776072839036,-3.4697978358640853,-3.2128553824487227,49,49,0.40816326530612246,False,no cruza el umbral,largo
vr_h bajo,21423,48.20986789898707,-3.0401321010129223,1.0,1.0,48.643422320250416,-0.4335544212633451,-3.4000023704546436,-3.203418482344098,49,49,0.40816326530612246,False,no cruza el umbral,largo
v_h alto | vol,21615,48.17487855655795,-3.0751214434420433,1.0,1.0,47.59216346940565,0.5827150871523017,-3.7502422715379353,-3.371693616225812,49,49,0.3877551020408163,False,no cruza el umbral,largo
tam_24 alto,18303,48.16696716385292,-3.0830328361470762,1.0,1.0,48.22784833659977,-0.06088117274685345,-4.16140680086432,-3.529601209812917,49,49,0.4489795918367347,False,no cruza el umbral,largo
vr_h bajo | vol,21465,48.10156068017703,-3.1484393198229625,1.0,1.0,48.656565394670956,-0.5550047144939256,-3.4894406123027437,-3.291389643225017,49,49,0.40816326530612246,False,no cruza el umbral,largo
tk_frac alto,38795,48.05773939940714,-3.192260600592853,1.0,1.0,48.62521645867728,-0.5674770592701393,-3.5814014752370866,-3.4127308861351295,49,49,0.3877551020408163,False,no cruza el umbral,largo
efic_h bajo,21450,48.02797202797203,-3.2220279720279663,1.0,1.0,48.6212368208369,-0.593264792864872,-3.5757464628779587,-3.378258016125997,49,49,0.40816326530612246,False,no cruza el umbral,largo
chop_24 alto,19304,47.98487360132615,-3.265126398673843,1.0,1.0,47.939727312581574,0.04514628874457571,-3.9957515982733085,-3.5330567593277635,49,49,0.3877551020408163,False,no cruza el umbral,largo
efic_h bajo | vol,21472,47.95547690014903,-3.294523099850963,1.0,1.0,48.640574881476944,-0.6850979813279139,-3.632076585296751,-3.43083114938225,49,49,0.40816326530612246,False,no cruza el umbral,largo
roll_sp alto,23344,47.742460589444825,-3.507539410555168,1.0,1.0,48.887443211660404,-1.1449826222155792,-4.229262881463363,-3.8225507309622486,49,49,0.46938775510204084,False,no cruza el umbral,largo
efic_h_24 bajo | vol,20405,47.55697133055624,-3.6930286694437555,1.0,1.0,48.48626849464665,-0.9292971640904142,-4.330398398192827,-3.9769987946966623,49,49,0.42857142857142855,False,no cruza el umbral,largo
centro_24 alto,20849,47.431531488320786,-3.8184685116792068,1.0,1.0,48.71855832360502,-1.2870268352842373,-4.237736356085399,-4.0134309986967125,49,49,0.42857142857142855,False,no cruza el umbral,largo
v_h alto,22035,47.37463126843658,-3.8753687315634124,1.0,1.0,47.71173661520811,-0.3371053467715299,-4.382161955691359,-4.049081515499417,49,49,0.3877551020408163,False,no cruza el umbral,largo
chop_24 alto | vol,19903,47.2541827865146,-3.9958172134853953,1.0,1.0,47.9388870900721,-0.6847043035575027,-4.6514860093797665,-4.298056573581782,49,49,0.40816326530612246,False,no cruza el umbral,largo
centro_24 alto | vol,21115,47.1655221406583,-4.084477859341696,1.0,1.0,48.73937635874629,-1.5738542180879946,-4.4628223668353755,-4.239906684441053,49,49,0.42857142857142855,False,no cruza el umbral,largo
tam alto | vol,19942,46.9662019857587,-4.283798014241292,1.0,1.0,48.34890061028305,-1.3826986245243518,-4.8239777709799085,-4.552221771330018,49,49,0.3877551020408163,False,no cruza el umbral,largo
camino bajo | vol,19008,46.590909090909086,-4.6590909090909065,1.0,1.0,48.70683611259704,-2.115927021687952,-5.294805646153016,-4.9927210164107905,49,49,0.40816326530612246,False,no cruza el umbral,largo
tam_24 alto | vol,19469,46.48415429657404,-4.765845703425953,1.0,1.0,48.336577575186844,-1.8524232786128039,-5.499595152274978,-5.097744069460951,49,49,0.42857142857142855,False,no cruza el umbral,largo
cambios alto | vol,23076,46.307852314092564,-4.942147685907429,1.0,1.0,48.407885277517295,-2.100032963424731,-5.460082915798331,-5.152226102138798,49,49,0.40816326530612246,False,no cruza el umbral,largo
chop alto,20170,46.301437778879524,-4.9485622211204685,1.0,1.0,48.229091309039,-1.9276535301594748,-5.425556232855833,-5.184227781700784,49,49,0.40816326530612246,False,no cruza el umbral,largo
tk_sd bajo | vol,22171,46.29470930494791,-4.955290695052085,1.0,1.0,47.93993096072992,-1.6452216557820094,-5.388619377001987,-5.209985248017695,49,49,0.4489795918367347,False,no cruza el umbral,largo
cambios alto,30599,46.20085623713193,-5.049143762868063,1.0,1.0,48.54778429120335,-2.3469280540714195,-5.495597652081102,-5.2177843523997325,49,49,0.3877551020408163,False,no cruza el umbral,largo
amihud bajo,19168,46.15505008347245,-5.09494991652754,1.0,1.0,47.88950906583395,-1.7344589823614953,-6.184885009697972,-5.581339457380892,49,49,0.4489795918367347,False,no cruza el umbral,largo
chop alto | vol,20640,45.85271317829457,-5.397286821705421,1.0,1.0,48.24965021831258,-2.3969370400180097,-5.812624254473157,-5.603068556523439,49,49,0.42857142857142855,False,no cruza el umbral,largo
tk_sd bajo,22615,45.67322573513155,-5.57677426486844,1.0,1.0,48.225494699983166,-2.5522689648516135,-5.936082380693151,-5.764403847018102,49,49,0.42857142857142855,False,no cruza el umbral,largo
cambios_24 alto,23865,45.52692227110832,-5.723077728891674,1.0,1.0,48.51757232722547,-2.990650056117154,-6.25372594573269,-5.941780821917803,49,49,0.46938775510204084,False,no cruza el umbral,largo
cambios_24 alto | vol,23089,45.467538654770664,-5.782461345229329,1.0,1.0,48.40344559125378,-2.9359069364831143,-6.416605972323374,-6.076254826254818,49,49,0.46938775510204084,False,no cruza el umbral,largo
hhi bajo | vol,22142,45.3482070273688,-5.901792972631192,1.0,1.0,47.974262111016735,-2.626055083647934,-6.362603161281292,-6.116320003681373,49,49,0.3877551020408163,False,no cruza el umbral,largo
amihud_24 bajo,19881,45.329711785121475,-5.920288214878518,1.0,1.0,47.811349571427336,-2.4816377863058605,-7.0034392662898455,-6.396150679291878,49,49,0.4489795918367347,False,no cruza el umbral,largo
hhi bajo,22355,45.23820174457616,-6.011798255423834,1.0,1.0,48.105256878890536,-2.867055134314377,-6.450847613782933,-6.223845803957239,49,49,0.3877551020408163,False,no cruza el umbral,largo
hhi_24 bajo | vol,22223,45.182918597849074,-6.067081402150919,1.0,1.0,47.59241076551062,-2.409492167661547,-6.610141817503262,-6.372875092387275,49,49,0.42857142857142855,False,no cruza el umbral,largo
amihud bajo | vol,20638,45.06250605678845,-6.187493943211543,1.0,1.0,47.77322155304303,-2.710715496254579,-6.700733752620536,-6.424461766889372,49,49,0.4489795918367347,False,no cruza el umbral,largo
hhi_24 bajo,22491,44.96465252767774,-6.28534747232225,1.0,1.0,47.88097372849381,-2.916321200816064,-6.779541385484087,-6.5894077448747055,49,49,0.40816326530612246,False,no cruza el umbral,largo
tk_sd_24 bajo,22796,44.779785927355675,-6.470214072644318,1.0,1.0,47.991489241615945,-3.2117033142602693,-7.009652730180477,-6.776576130947021,49,49,0.40816326530612246,False,no cruza el umbral,largo
tk_sd_24 bajo | vol,22315,44.768093210844725,-6.481906789155268,1.0,1.0,47.518224045473275,-2.75013083462855,-7.17689295039164,-6.855732454725583,49,49,0.40816326530612246,False,no cruza el umbral,largo
amihud_24 bajo | vol,20874,44.39015042636773,-6.8598495736322604,1.0,1.0,47.64161189279615,-3.2514614664284167,-7.50743752479174,-7.212266005011536,49,49,0.40816326530612246,False,no cruza el umbral,largo
amihud_24 bajo | vol,20874,55.609849573632275,4.359849573632282,1.1234532598148772e-36,0.3845,52.358388107203844,3.251461466428431,3.8220257882542583,4.159964308414423,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
tk_sd_24 bajo | vol,22315,55.231906789155275,3.981906789155282,6.394101667264312e-33,0.3685,52.481775954526725,2.75013083462855,3.5455566060033092,3.8667708716439932,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
tk_sd_24 bajo,22796,55.220214072644325,3.970214072644332,2.1073729503229404e-33,0.363,52.00851075838406,3.2117033142602622,3.617956109354658,3.8337988826815774,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
hhi_24 bajo,22491,55.03534747232226,3.7853474723222647,3.68064470723496e-30,0.2995,52.11902627150621,2.91632120081605,3.428444569078337,3.6899899602975452,49,49,0.5102040816326531,False,muere en la correccion (FDR q=0.05),corto
amihud bajo | vol,20638,54.93749394321155,3.6874939432115568,1.6367217541222175e-26,0.4155,52.22677844695698,2.710715496254572,3.2719504627953953,3.5057967439565942,49,49,0.4897959183673469,False,muere en la correccion (FDR q=0.05),corto
hhi_24 bajo | vol,22223,54.817081402150926,3.567081402150933,1.0600988956813897e-26,0.3365,52.40758923448938,2.409492167661547,3.196772043420303,3.399629393842943,49,49,0.5102040816326531,False,muere en la correccion (FDR q=0.05),corto
hhi bajo,22355,54.76179825542384,3.511798255423848,4.41216387782343e-26,0.398,51.894743121109464,2.867055134314377,3.2381305637982294,3.3983318304779075,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
amihud_24 bajo,19881,54.670288214878525,3.420288214878532,2.6796339224788246e-22,0.4575,52.18865042857266,2.4816377863058676,3.0389883226017815,3.2477356937011166,49,49,0.5102040816326531,False,muere en la correccion (FDR q=0.05),corto
hhi bajo | vol,22142,54.6517929726312,3.401792972631206,2.2450330780527022e-24,0.368,52.02573788898327,2.626055083647927,3.079156694354502,3.2623394954922205,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
cambios_24 alto | vol,23089,54.532461345229336,3.2824613452293434,1.0108064165797251e-23,0.3565,51.59655440874623,2.935906936483107,2.9006906268767167,3.10422247595627,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
cambios_24 alto,23865,54.47307772889168,3.2230777288916883,1.2008869064903972e-23,0.356,51.48242767277452,2.990650056117161,2.8542620327985517,3.061077132178063,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
tk_sd bajo,22615,54.32677426486845,3.0767742648684546,1.1211749999636798e-20,0.3335,51.77450530001684,2.5522689648516064,2.779878273699744,2.9465998839855487,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
chop alto | vol,20640,54.14728682170543,2.8972868217054355,4.380080147334303e-17,0.466,51.75034978168742,2.3969370400180097,2.6250375488134594,2.801005394801386,49,49,0.5714285714285714,False,muere en la correccion (FDR q=0.05),corto
amihud bajo,19168,53.844949916527554,2.594949916527561,3.4763489842745317e-13,0.484,52.11049093416605,1.7344589823615024,2.1827852178335405,2.423730167181354,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
cambios alto,30599,53.79914376286806,2.54914376286807,2.4328200514912683e-19,0.4305,51.45221570879666,2.3469280540714053,2.309264879446985,2.4618336359135284,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),corto
tk_sd bajo | vol,22171,53.7052906950521,2.4552906950521063,1.36191552957223e-13,0.4185,52.06006903927008,1.6452216557820165,2.0511272141707053,2.3422599759281653,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),corto
