ranking,objetivo,semanas,spread,sd_sem,sem_ok,p,spread_crudo,atr_ratio,atr_propio,sin_top3,sin_top1,fdr_ok,veredicto
beta_NDX x d_NDX ~ sin roc_168 [bajo],largo,194,-0.1098571792232072,2.114232489384151,0.4793814432989691,1.0,0.0003379352331311927,0.9397661330044849,0.8078913900596387,-0.2095093721118095,-0.1682762780976882,False,spread <= 0
beta_NDX x d_NDX [bajo],largo,194,-0.11431531719093303,2.1846372711362725,0.4484536082474227,1.0,0.00042550596042497437,0.9257300212793215,0.7997564446633993,-0.2008935893465059,-0.16064049278782225,False,spread <= 0
beta_NDX ~ sin roc_168,largo,195,-0.12342670580616862,2.022188328301684,0.38974358974358975,1.0,-0.0021577009127287266,1.117298681706594,0.8003486631669704,-0.21457047095516213,-0.17836342204296868,False,spread <= 0
beta_VIX,largo,195,-0.15187376293109908,2.725174756581571,0.5333333333333333,1.0,-0.002502134187016578,0.7567552462659907,0.8006193936638284,-0.2936076415280091,-0.24006013923007485,False,spread <= 0
beta_T10 ~ sin roc_168 [bajo],largo,195,-0.17358473557002543,2.135641717277069,0.41025641025641024,1.0,-0.0030598165034596302,1.0794248604664063,0.8074544314278855,-0.33357785142453017,-0.2321778440508575,False,spread <= 0
beta_DXY ~ sin roc_168 [bajo],largo,195,-0.17826418652356327,2.363375725313132,0.39487179487179486,1.0,-0.0033286703391789568,1.1091280166174078,0.8056415272118198,-0.3486368481783884,-0.23835814660662388,False,spread <= 0
beta_DXY x d_DXY ~ sin roc_168,largo,194,-0.18138496341803198,2.026297111261083,0.44329896907216493,1.0,-0.0013615847617806875,1.022334107315663,0.8104049726972005,-0.2449474450718462,-0.2262159287183742,False,spread <= 0
beta_DXY x d_DXY [bajo],largo,194,-0.18471386538329482,2.4136865941864376,0.4381443298969072,1.0,-0.003041699376443502,1.0453967542685216,0.7996427840837306,-0.2954541884416517,-0.22215342996527843,False,spread <= 0
beta_DXY ~ sin roc_168,largo,195,-0.2029767162908178,2.0956698753854384,0.4564102564102564,1.0,-0.0019598789048913567,0.9759230254233353,0.8122969926741049,-0.32081407231685144,-0.21910633254531303,False,spread <= 0
beta_T10 [bajo],largo,195,-0.2039304986808359,2.135430971041993,0.41025641025641024,1.0,-0.0036071346932849916,1.0862827246931925,0.8043463230589678,-0.3429231475761263,-0.26661204538084887,False,spread <= 0
beta_ORO,largo,195,-0.2259487478008813,2.0902945015913326,0.4461538461538462,1.0,-0.003256311227390235,1.0537426030150416,0.80801087395259,-0.3572135231883563,-0.261491127818022,False,spread <= 0
beta_DXY x d_DXY ~ sin roc_168 [bajo],largo,194,-0.24850240155858916,2.3832202797937616,0.4020618556701031,1.0,-0.004339932946654923,1.06206721723903,0.803906445814497,-0.411682474830672,-0.31250572680030836,False,spread <= 0
beta_ORO ~ sin roc_168,largo,195,-0.25235449017033745,1.9349406734854881,0.4564102564102564,1.0,-0.0032806031313669056,1.0515677261514265,0.8098723530805416,-0.3398861568842358,-0.28589697981916345,False,spread <= 0
beta_DXY,largo,195,-0.2583083303057859,2.2138734844870873,0.4512820512820513,1.0,-0.0022846331858745626,0.958566119585955,0.8118630166146388,-0.31896539739712676,-0.27316376639391493,False,spread <= 0
beta_ORO x d_ORO ~ sin roc_168,largo,194,-0.35381247539900623,1.7911347144645897,0.4484536082474227,1.0,-0.005661708646449172,1.063394966611767,0.8189356331895792,-0.4691493686854369,-0.4046678341037046,False,spread <= 0
beta_ORO x d_ORO,largo,194,-0.38417912000076115,1.9000087319985193,0.422680412371134,1.0,-0.006143288658069532,1.0794003363158573,0.8229941647206206,-0.43868453470483504,-0.41556301700611964,False,spread <= 0
beta_T10,largo,195,-0.3921466547999542,2.233904831391257,0.4256410256410256,1.0,-0.005673525273756472,1.0718005794965075,0.8193324815643175,-0.44174555696326273,-0.42360469669599415,False,spread <= 0
CONTROL azar 3,largo,203,-0.40407586723278394,1.6838141185562445,0.37438423645320196,1.0,-0.004042788023811767,1.0090925557494745,0.8082914582890363,-0.45316193502635915,-0.4081230503565701,False,control
beta_T10 ~ sin roc_168,largo,195,-0.4172305658837067,2.1769520962603974,0.38974358974358975,1.0,-0.005563441354918177,1.0780644287072028,0.8192453726777058,-0.5280424374609964,-0.4769788536817922,False,spread <= 0
CTRL roc_168 [bajo],largo,203,-0.46940466311658213,1.896148396243823,0.3842364532019704,1.0,-0.005889103720262137,1.0280180743791267,0.7501193470882742,-0.5345690864053234,-0.4914409356796511,False,spread <= 0
beta_T10 x d_T10 [bajo],largo,194,-0.6257515484009598,2.121521427172511,0.34536082474226804,1.0,-0.00799784475839394,1.0717037810031536,0.8060054256183725,-0.7191940644142377,-0.6647559739822752,False,spread <= 0
